recclass reclat
L6 13.783330
H4/5 9.366670
H3/4 51.916670
OC 35.000000
H? 35.650000
H3-6 50.316670
L3.4 57.816670
LL4 41.383330
Eucrite-mmict 26.800000
CM2 28.383330
L6 32.675000
L6 38.250000
H4 35.294500
"Iron 1890
Stone-uncl 51.650000
Ureilite 60.245560
H5 55.466670
L3.7-6 27.333330
H5 10.000000
H5 59.850000
H5 33.600000
L6 55.900000
H5 34.450000
H6 1.345000
L4 64.433330
L/LL6 34.900000
Stone-uncl 9.066670
L5 41.800000
L5 21.300000
L6 35.666670
OC 39.350000
"Iron 1751
H5 26.464690
H6 50.300000
EL6 61.183330
Diogenite 52.283330
Eucrite-mmict -20.000000
OC 38.000000
H6 58.200000
H5 -32.100000
H5 -23.200000
H6 -6.033330
EH4 39.750000
L6 39.083330
L6 41.000000
L5 53.415000
H6 -25.500000
H -8.933330
H5 -31.183330
H5 -3.400000
EH7-an 26.590830
CI1 -8.416670
L6 -32.500000
EL6 26.750000
Ureilite 
Iron 31.000000
H6 18.750000
L6 39.700000
LL6 43.833330
L6 
L6 46.421370
L5 31.300000
H5 31.916670
"Iron 1890
H5 44.050000
L5 22.680000
Howardite 55.700000
Diogenite 40.350000
LL6 -11.850000
Eucrite-mmict 45.433330
H5 35.500000
H6 12.850000
L6 -7.716670
L6 35.200000
"Iron 1968
Eucrite-mmict 44.716670
CV3 47.350000
H4 11.850000
H6 27.083330
H5 27.250000
L6 49.866670
CR2 15.000000
CO3.2 55.433330
K3 12.383330
L6 45.133330
H4 -6.833330
L6 17.833330
L6 26.033330
H5 36.041670
L6 14.183330
L6 31.600000
H5 -7.000000
H5 32.083330
Howardite 4.700000
L5/6 20.339160
L6 42.450000
LL6 47.216670
LL6 -3.500000
L6 12.900000
L6 27.800000
L6 31.583330
CK4 -35.083330
H 35.366670
H4 29.583330
L6 11.333330
"Iron 2006
"Iron 1961
L4 -7.750000
L4 36.541940
L4 29.450000
H4-5 20.462500
H5 48.400000
H6 48.116670
H4 38.983330
EL6 29.533330
LL5 25.550000
L6 50.625000
L6 26.950000
H6 28.016670
L5 56.750000
L3.6 25.100000
Aubrite 16.000000
H6 14.000000
L6 54.400000
H5 16.583330
Stone-uncl 36.850000
H6 55.000000
LL6 12.766670
H5 43.583330
H6 54.666670
H6 11.633330
Eucrite-mmict 30.750000
L6 48.166670
L6 43.383330
H6 51.600000
L/LL5 48.900000
CK4 34.733330
L6 34.300000
Iron 35.733330
LL5 42.516670
H5 48.763670
LL5 49.326940
L6 54.033330
H5 54.333330
OC 56.800000
LL3.2 47.833330
L6 51.150000
L5 30.731110
L6 50.750000
H6 41.116670
L6 55.783330
H5 42.250000
OC 37.050000
L6 29.683330
H5 44.516670
L6 10.833330
L6 55.200000
L6 32.033330
L6 47.083330
OC 20.666670
H5 -37.333330
L6 -31.233330
H5 44.283330
Ureilite 26.783330
L6 48.766670
Pallasite 
Eucrite-mmict 21.866670
L6 24.450000
CO3.5 47.700000
H6 43.750000
L6 58.850000
L6 46.241670
L4 47.750000
H5 33.133330
L6 51.900000
L6 52.450000
H5 47.166670
Howardite 48.533330
L6 35.883330
L6 -25.666670
L6 52.666670
H5 34.583330
L6 52.266670
L6 48.350000
L6 50.366670
H6 -26.150000
H5 56.650000
H5 52.566670
L6 52.750000
L5 31.633330
L6 50.200000
L5 37.916670
H4 56.000000
Lodranite 29.533330
Howardite 26.965560
L6 38.700660
L6 38.000000
H5 36.008330
L6 38.250000
Mesosiderite-A3 52.000000
L5 24.950000
L6 47.850000
L6 32.033330
H6 24.800000
L6 56.216670
Howardite 61.200000
H3-5 46.216670
Unknown -7.216670
L5 19.000000
H5 -5.200000
L6 -15.212220
Eucrite-pmict -28.833330
L 25.916670
L6 -7.750000
L6 40.416670
L3-4 -26.166670
"Iron 1899
H3-5 -19.483330
H4/5 27.666670
H5/6 12.833330
OC 32.216670
L5 9.500000
H -3.133330
H5 -28.933330
Eucrite-pmict -29.450000
L6 45.216670
LL6 23.050000
Diogenite 20.966670
LL6 -17.650000
LL3.4 45.816670
H5 34.233330
L4 
Iron 42.716670
CM2 54.761830
H6 4.666670
H4 -22.250000
L6 41.900000
"Pallasite 1902
L5 44.500000
L6 -14.200000
L6 35.800000
L6 45.366670
H5 0.000000
Howardite 48.133330
L6 48.183330
L6 -20.000000
Aubrite 8.966670
"Iron 1885
L6 -1.216670
L5/6 1.066670
Eucrite-cm -27.250000
H5 29.016670
H5 -6.233330
H4 53.183330
L5 46.818670
L6 55.050000
LL6 0.000000
H5 25.483330
L5 38.183330
L6 50.583330
L6 45.766670
L3.7 46.500000
L6 25.900000
H5 34.800000
L6 54.566670
L5 42.907500
CM2 48.066670
L6 35.568330
L6 46.233330
L6 46.183330
Eucrite-mmict -26.450000
H5 35.400000
L 35.078330
Pallasite 37.283330
LL6 32.333330
OC 47.700000
