recclass reclat
H6 -76.040450
H5 -76.285280
H5 -76.265840
L6 -76.183330
H5 -76.183330
L6 -76.268620
H5 -76.183330
L4 -76.183330
L6 -76.058610
L6 -76.183330
L5 -76.038530
L6 -76.267600
L6 -76.275980
L6 -76.273800
L6 -76.272300
L6 -76.272340
H6 -76.183330
H6 -76.183330
L6 -76.282740
L6 -76.283280
L5 -76.183330
L6 -76.272920
L6 -76.183330
L6 -76.281560
L6 -76.270280
L6 -76.268590
L6 -76.267570
H6 -76.183330
L6 -76.270520
L5 -76.283210
L6 -76.270010
L5 -76.282700
L6 -76.268110
H6 -76.270680
H5 -76.270090
L6 -76.271010
L6 -76.273040
L6 -76.270470
L6 -76.281850
L6 -76.279730
L6 -76.183330
L6 -76.280850
L6 -76.282910
H5 -76.183330
L6 -76.276020
L6 -76.282440
L6 -76.270090
L6 -76.272790
L6 -76.279500
L6 -76.269710
L6 -76.033370
L6 -76.279090
L6 -76.282600
L6 -76.277150
L5 
L6 -76.272970
L6 -76.280310
L6 -76.281680
L6 -76.274610
L6 -76.278730
L6 -76.271330
L6 -76.281420
H5 -76.269540
L6 -76.282260
L6 -76.281010
L6 -76.279760
L6 -76.280690
L6 -76.283390
L6 -76.281980
H5 -76.183330
L6 -76.269330
L6 -76.283350
L6 -76.279800
L6 -76.278950
L6 -76.271130
L6 -76.269420
L6 -76.279890
L6 -76.283430
L6 -76.282030
L6 -76.283240
H6 -76.270210
L6 -76.183330
L6 -76.282930
L6 -76.276190
H6 -76.268170
L6 -76.269400
L6 -76.275880
L6 -76.183330
H6 -76.183330
H4 -76.183330
H6 -76.281080
LL6 -76.183330
H4 -76.282640
L6 -76.275850
L6 -76.277430
L6 -76.282080
L6 -76.283240
L6 -76.183330
H5 
H6 -76.266670
L6 -76.283390
H5 -76.268370
L5 -76.183330
L6 -76.281100
L6 -76.269340
H5 -76.183330
L6 -76.280920
L6 -76.183330
L6 -76.283080
H5 -76.183330
L6 -76.183330
H5 -76.183330
L6 -76.282770
L5 -76.183330
L6 -76.281990
H5 -76.183330
L6 -76.282830
H5 -76.183330
L6 -76.282750
L6 -76.280740
H6 -76.183330
H6 -76.268300
L6 -76.282040
H5 -76.183330
L6 -76.282630
L6 -76.183330
L6 -76.283280
H5 -76.183330
L6 -76.273900
L6 -76.058350
L6 -76.282970
L6 -76.183330
L6 -76.280720
L6 -76.265700
L6 -76.273960
L6 -76.183330
L6 -76.271890
L5 -76.183330
L6 -76.281880
CR2 -76.043880
H5 -76.183330
H6 -76.183330
H5 
L6 -76.270830
L6 -76.283170
L6 -76.183330
Ureilite -76.183330
H5 -76.183330
H6 -76.266470
Ureilite-pmict -76.183330
L6 -76.282410
L6 -76.183330
L6 -76.284780
L6 -76.268810
L6 -76.271520
H3.9 -76.183330
L6 -76.282220
L6 -76.271380
L6 -76.042900
L6 -76.183330
H5 -76.268250
L6 -76.183330
L6 -76.279470
H5 -76.183330
L3.4 -76.273660
L6 -76.272590
L6 -76.283570
L6 -76.271070
H6 -76.284620
H5 -76.264940
L6 -76.280380
L6 -76.283610
H5 -76.284240
L6 -76.183330
H5 -76.183330
EH4 -76.183330
CR2 -76.047180
L6 -76.282370
LL6 -76.265340
L6 -76.283800
H6 -76.183330
L6 -76.267960
L6 -76.285280
H5 -76.274420
H5 -76.045300
L6 -76.275590
H6 -76.183330
L6 -76.183330
L6 -76.183330
L6 -76.282350
L6 -76.282240
L6 -76.183330
L6 -76.281910
L6 -76.283030
L6 -76.282650
L6 -76.282630
H5 -76.183330
L6 -76.307840
L6 -76.285270
CR2 -76.036990
LL5 -76.283640
H5 -76.052240
L6 -76.183330
L5 -76.266230
L6 -76.282620
L6 -76.266820
L6 -76.183330
H3.9 -76.183330
L6 -76.282920
L6 -76.281450
H5 -76.041420
L6 -76.183330
L6 -76.281250
L6 -76.281540
H6 -76.183330
H6 -76.183330
H5 -76.183330
L6 -76.272820
L6 -76.282630
H5 -76.183330
L6 -76.282590
H6 -76.261370
H6 -76.183330
L6 -76.262070
L6 -76.284740
L6 -76.281400
L6 -76.282180
H5 -76.270220
L6 -76.282560
L6 -76.281870
L5 -76.285410
L6 -76.284780
L6 -76.268300
L6 -76.280360
H3.7 -76.183330
LL5 -76.282840
L6 -76.183330
H4 -76.043640
L6 -76.283530
L6 -76.282640
L6 -76.268610
CR2 -76.039620
L6 -76.037550
L6 -76.282580
H6 -76.283830
H6 -76.183330
L6 -76.270540
L6 -76.183330
L6 -76.283460
H6 -76.268100
H5 -76.183330
H5 -76.045400
H3.9 -76.183330
H6 -76.183330
L6 -76.183330
L6 -76.284860
L6 -76.183330
L6 -76.283910
L6 -76.281310
L6 -76.284090
L6 -76.284690
H5 -76.267780
L6 -76.284480
H6 -76.183330
L6 -76.284380
L6 -76.281810
H6 -76.183330
H5 -76.278270
L6 -76.284420
H5 -76.278600
L6 -76.283260
L6 -76.269070
L6 -76.183330
L6 -76.183330
L6 -76.284770
CR2 -76.055990
CR2 -76.045450
L6 -76.183330
L6 -76.281320
CR2 -76.032640
LL5 -76.041950
L6 -76.037360
L6 -76.183330
L6 -76.284510
L6 -76.283420
L6 -76.271410
L6 -76.282780
L6 -76.281040
H5 -76.183330
CK5/6 -76.282450
CK5 -76.293870
CK5 -76.279290
CK5 -76.291450
CK5 -76.288370
CK5 -76.271900
CK5 -76.285230
CK5 -76.286510
CK5 -76.278430
CK5 -76.281690
CK5 -76.282870
H6 -76.275170
L4 -76.269380
CK5 -76.279750
CK5 -76.285470
CK5 -76.291450
CK5 -76.290260
CK5 -76.271590
CK5 -76.288500
Ureilite -76.281000
Eucrite-unbr -76.269300
CM2 -76.268110
CK5 -76.285730
CK5 -76.275070
Eucrite-br -76.288430
CK5 -76.282000
CK5 -76.292260
CK5 -76.270750
CK5 -76.280250
Eucrite-unbr -76.273860
L6 -76.275040
LL6 -76.278450
LL6 -76.279440
Aubrite -76.286100
L6 -76.281930
CK5 -76.265830
CK5 -76.279310
L6 -76.291510
CK5 -76.273430
CK5 -76.278930
CK5 -76.273770
CK5 -76.288090
CK5 -76.279720
CO3 -76.268300
CK5 -76.270680
CK5 -76.276600
CK5 -76.265890
CM1/2 -76.265350
CK5 -76.286120
CK5 -76.281430
CK5 -76.265680
H6 -76.183330
CK5 -76.279410
L6 -76.183330
L6 -76.290630
L6 -76.272890
L6 -76.270820
L6 -76.281410
L6 -76.283160
L6 -76.279060
L6 -76.278550
L6 -76.267540
L6 -76.279000
L6 -76.279270
L6 -76.278690
L6 -76.282420
L3.3 -76.277130
L6 -76.280690
L6 -76.266680
H5 -76.269030
L6 -76.267990
L6 -76.290260
L6 -76.286770
L6 -76.287390
L6 -76.282790
L6 -76.277760
L6 -76.266590
L6 -76.266990
L6 -76.280010
L3.4 -76.270080
L6 -76.280720
L6 -76.279920
L3.5 -76.288630
L6 -76.281440
L6 -76.288800
L6 -76.283780
L6 -76.279550
L6 -76.270560
L6 -76.277950
L6 -76.280640
L6 -76.288680
L6 -76.280780
L6 -76.288940
L6 -76.269350
L6 -76.270710
L6 -76.275950
H6 -76.285630
L3.7 -76.270730
L6 -76.267870
L5 -76.279230
L6 -76.281130
EL6 -76.276830
L6 -76.286380
H5 -76.281530
L6 -76.278090
H5 -76.277300
L6 -76.283490
L6 -76.270670
L6 -76.279040
L6 -76.272710
L6 -76.271720
L6 -76.268570
L6 -76.278710
L6 -76.278400
L6 -76.269670
L6 -76.279220
L6 -76.270680
L6 -76.280430
L6 -76.279360
L6 -76.279160
L6 -76.280000
L6 -76.266780
L6 -76.280560
L6 -76.271850
L6 -76.281500
L6 -76.279750
L6 -76.278600
L6 -76.271090
L6 -76.279430
L6 -76.281160
L6 -76.285850
L6 -76.278210
L6 -76.272980
L6 -76.268650
L6 -76.268620
L6 -76.281110
L6 -76.270410
L6 -76.272850
L6 -76.280820
L6 -76.290840
L6 -76.276680
L6 -76.287420
L6 -76.281370
L6 -76.282530
L6 -76.280220
L6 -76.269620
L6 -76.284150
L6 -76.277740
L6 -76.269850
L6 -76.287300
H6 -76.268640
L6 -76.282260
L6 -76.279510
L6 -76.273920
L6 -76.283270
L6 -76.285510
L6 -76.277380
L6 -76.284680
L6 -76.278370
L6 -76.282790
L3.05 -76.282400
L6 -76.279930
L6 -76.287320
L6 -76.287880
H5 -76.282220
H6 -76.282860
L6 -76.273180
L6 -76.267990
L6 -76.276340
L6 -76.274600
L6 -76.284570
L6 -76.279370
L6 -76.284380
L6 -76.286290
L6 -76.268640
L6 -76.284190
L6 -76.274790
H5 -76.267090
H5 -76.274140
L6 -76.284730
L6 -76.274660
L6 -76.280780
L6 -76.282980
L6 -76.273630
L6 -76.276950
L6 -76.280710
L6 -76.279830
L6 -76.284040
L6 -76.280770
L6 -76.265930
L6 -76.277750
L6 -76.282970
L6 -76.284020
L6 -76.287490
L6 -76.281260
L6 -76.282230
L6 -76.286100
L6 -76.279130
L6 -76.285400
L6 -76.273500
L6 -76.268820
L6 -76.286550
L6 -76.274930
L6 -76.282090
L6 -76.285910
L6 -76.282030
L6 -76.284080
L6 -76.284480
L6 -76.285830
L6 -76.277840
H5 -76.268610
L6 -76.283240
L6 -76.285920
H5 -76.278600
L6 -76.271900
L6 -76.271330
L6 -76.283160
L6 -76.273270
L6 -76.280600
L6 -76.284790
L6 -76.288400
L6 -76.279010
L6 -76.275910
L6 -76.268130
L6 -76.274070
L6 -76.283920
L6 -76.283680
H5 -76.280550
L6 -76.265830
L6 -76.293670
L6 -76.287950
L6 -76.288170
CK5 -76.265770
L6 -76.275730
L6 -76.267610
H5 -76.264920
H6 -76.266670
L6 -76.273180
L6 -76.266340
L6 -76.286820
L6 -76.274820
L5 
L6 -76.266410
L6 -76.277080
L6 -76.287600
H6 -76.267900
LL6 -76.295410
CO3 -76.294290
L6 -76.282100
L6 -76.266000
L6 -76.266530
L6 -76.286290
H5 -76.264440
L6 -76.278020
L5 -76.272770
L6 -76.282080
L6 -76.276200
H6 -76.287160
L6 -76.273080
L6 -76.289150
L3.4 -76.273590
L6 -76.287520
L6 -76.288990
H6 -76.273110
L6 -76.274040
L6 -76.279180
L6 -76.278370
L6 -76.283100
L6 -76.268490
L6 -76.286850
L6 -76.281090
L6 -76.270560
H5 -76.281310
L6 -76.280620
L6 -76.287990
L6 -76.283540
L6 -76.279800
L6 -76.289460
L6 -76.272740
L6 -76.267370
L6 -76.281250
L6 -76.279850
L6 -76.280000
L6 -76.278510
L6 -76.280060
L6 -76.280240
L6 -76.280540
L6 -76.270720
L6 -76.288150
L6 -76.281020
L6 -76.271420
L6 -76.279810
L6 -76.287730
L6 -76.281010
L6 -76.282020
L6 -76.280530
L6 -76.279850
L6 -76.281410
EL3 -76.279220
L6 -76.279530
L6 -76.281190
L6 -76.279880
H6 -76.266020
H5 -76.266020
L6 -76.266850
L6 -76.281150
L6 -76.287720
L6 -76.279610
L6 -76.280620
L6 -76.284960
L6 -76.281000
L6 -76.269090
H5 -76.280840
L6 -76.273470
L6 -76.287880
L6 -76.279700
L6 -76.281050
L6 -76.280940
L6 -76.266890
L6 -76.285920
L6 -76.271350
L6 -76.271960
L6 -76.279190
L6 -76.281130
L6 -76.288590
L6 -76.281070
L6 -76.268490
H5 -76.278250
H6 -76.268600
L6 -76.266450
L6 -76.266870
L6 -76.266380
L6 -76.279650
L6 -76.265570
L6 -76.279780
L6 -76.266240
L6 -76.289220
L6 -76.266360
L6 -76.269480
L6 -76.266950
L6 -76.281980
L6 -76.271730
L6 -76.282950
L5 -76.279780
L6 -76.277790
L6 -76.266690
L6 -76.266900
L6 -76.266900
L6 -76.290380
L6 -76.277520
L6 -76.274490
L6 -76.274280
L6 -76.268070
L6 -76.267590
L6 -76.265720
L6 -76.268290
L6 -76.272300
L6 -76.274170
L6 -76.276640
L6 -76.272170
L6 -76.271650
L6 -76.291930
L6 -76.183330
L6 -76.273100
L6 -76.276250
L6 -76.265680
L6 -76.271850
L6 -76.269040
L6 -76.271240
L6 -76.275900
H5 -76.286670
LL6 
L6 -76.269760
L6 -76.270760
L6 -76.274120
L6 -76.271070
L6 -76.267560
L6 -76.273340
L6 -76.274250
L6 -76.269680
L6 -76.275220
L6 -76.267090
L6 -76.282830
L6 -76.275910
L6 -76.281920
LL6 -76.277090
L6 -76.278140
H5 -76.276830
L6 -76.269480
L6 -76.274550
L6 -76.269190
L6 -76.268000
L6 -76.266330
L6 -76.268480
L6 -76.266090
L6 -76.265530
L6 -76.268330
L6 -76.277200
L6 -76.271050
L6 -76.270550
L6 -76.272460
L6 -76.276020
L6 -76.274340
L6 -76.270890
H6 -76.277300
L5 -76.268080
L6 -76.271210
L6 -76.277160
L6 -76.268480
L6 -76.270220
L6 -76.287480
H6 -76.273720
L6 -76.266990
L6 -76.272310
L6 -76.269940
L6 -76.280570
L6 -76.272640
L6 -76.274270
L6 -76.276510
L6 -76.272630
L6 -76.271330
L6 -76.275260
L6 -76.276970
L5 -76.277990
L6 -85.633330
L6 -76.270820
L6 -76.267350
CK5 -76.292990
L6 -76.269410
L6 -76.266640
L6 -76.266380
L6 -76.276710
H6 -76.270970
L6 -76.274940
L6 -76.273610
L6 -76.277930
L6 -76.269000
L6 -76.268210
L6 -76.281870
L6 -76.286550
L6 -76.288580
L6 -76.271850
L6 -76.273210
L6 -76.286010
L6 -76.270220
L6 -76.270380
L6 -76.266900
L6 -76.265540
L6 -76.269520
L6 -76.282710
L6 -76.288400
LL6 -76.294220
L6 -76.281300
L6 -76.284330
L6 -76.280230
H5 -76.290890
L6 -76.281930
L6 -76.290540
L5 
L6 -76.280390
L6 -76.286250
L6 -76.283410
L6 -76.283390
L6 -76.283830
L6 -76.268200
L6 -76.270080
L6 -76.268420
L6 -76.270410
L6 -76.269310
H5 -76.271160
L6 -76.269580
L6 -76.270110
L6 -76.271540
L6 -76.274090
L6 -76.268430
L6 -76.275250
L6 -76.273620
L6 -76.277050
L6 -76.277540
L6 -76.275000
L6 -76.276970
L6 -76.274020
L6 -76.274170
L6 -76.274100
L6 -76.273890
L6 -76.287130
L6 -76.269050
L6 -76.266900
L6 -76.305650
L6 -76.283220
L6 -76.275300
L6 -76.273770
L6 -76.270710
L6 -76.272090
L6 -76.278070
L4 -76.273530
L6 -76.268330
L6 -76.277770
L6 -76.274230
L6 -76.273760
L6 -76.279560
L6 -76.279040
H6 -76.267820
L6 -76.283830
L6 -76.279710
L6 -76.272380
L6 -76.275520
L6 -76.287350
L6 -76.282190
L6 -76.287270
L6 -76.289020
L6 -76.286850
H5 -76.286320
L6 -76.284530
L6 -76.287380
L6 -76.280440
L6 -76.285380
L6 -76.285150
L6 -76.285160
L3.6 -76.288170
L6 -76.282720
L6 -76.290020
L6 -76.286890
L6 -76.289630
L6 -76.288630
L4 -76.287150
L6 -76.283340
L6 -76.281590
L6 -76.287470
L6 -76.287370
L6 -76.288650
L6 -76.282590
L6 -76.281510
L6 -76.282340
L6 -76.283200
L6 -76.288830
L6 -76.284580
L6 -76.280500
L6 -76.288950
L6 -76.285830
L6 -76.282600
L6 -76.288530
L3.8 -76.285330
L6 -76.287300
L6 -76.282060
LL5 
L6 -76.287410
L6 -76.286470
H6 -76.281510
L6 -76.285250
L6 -76.288090
L6 -76.282140
L6 -76.287340
L6 -76.281740
L6 -76.283440
L6 -76.283410
L6 -76.285810
L6 -76.283140
L6 -76.281150
L6 -76.288790
L6 -76.281860
L6 -76.282340
L6 -76.287240
L6 -76.287820
L6 -76.285430
L6 -76.282170
L6 -76.283930
L5 -76.286520
L6 -76.276870
L6 -76.269590
L6 -76.272170
L6 -76.275180
L6 -76.278300
L6 -76.267980
L6 -76.270680
L6 -76.270640
L6 -76.273370
L6 -76.270940
L6 -76.275330
L6 -76.272640
L6 -76.277620
L6 -76.285810
L6 -76.282180
L6 -76.288070
L6 -76.283950
L6 -76.265030
L6 -76.282100
L6 -76.282020
L6 -76.287980
L6 -76.285340
L6 -76.286950
L6 -76.285260
L6 -76.287220
L6 -76.286790
L6 -76.285990
L6 -76.283450
L6 -76.277260
L6 -76.276490
L6 -76.267570
L6 -76.273180
L6 -76.271820
L6 -76.274670
H6 -76.271660
L6 -76.277990
L6 -76.272520
L6 -76.274290
L6 -76.269830
L6 -76.277290
L6 -76.266120
L6 -76.267120
L6 -76.274290
L6 -76.183330
L6 -76.270270
L6 -76.267270
L6 -76.271340
L6 -76.274010
L6 -76.285030
H5 -76.273230
L6 -76.266110
L6 -76.271720
L6 -76.277460
L6 -76.275810
L6 -76.269360
L6 -76.272930
L5 -76.269780
L6 -76.287250
L6 -76.279340
L6 -76.266860
L6 -76.269780
L3.4 -76.293660
L6 -76.275000
L6 -76.266620
L6 
L6 -76.282810
L6 -76.270160
L6 -76.268890
L6 -76.267390
L6 -76.275130
L6 -76.275240
L6 -76.271340
L6 -76.275740
L6 -76.276160
L5 -76.271950
L6 -76.270510
L6 -76.265540
L6 -76.276120
L6 -76.275150
L6 -76.274470
L6 -76.276700
L6 -76.267080
L6 -76.271030
L6 -76.265260
L5 -76.277390
L6 -76.278120
L6 -76.277330
H5 -76.270600
L6 -76.272080
L6 -76.276940
L6 -76.270410
L5 -76.266350
L6 -76.271340
L6 -76.267050
L6 -76.265220
L6 -76.275840
L6 -76.271910
L6 -76.270450
L6 -76.267040
L6 -76.275670
H6 -76.267480
L6 -76.271440
L6 -76.266360
L6 -76.279860
L6 -76.279740
L5 -76.294730
L6 -76.280210
L6 -76.268530
L6 -76.271220
L6 -76.280020
L6 -76.267690
L6 -76.269930
L6 -76.266380
L6 -76.276180
L6 -76.267670
L6 -76.278570
L6 -76.271580
L6 -76.278940
L6 -76.271990
L6 -76.269610
L6 -76.269550
L6 -76.267420
L6 -76.268280
L6 -76.273090
L6 -76.272940
L6 -76.279600
L6 -76.266960
L6 -76.289820
L6 -76.289270
L6 -76.280400
L6 -76.270700
L6 -76.267290
L6 -76.183330
L6 -76.278470
L6 -76.183330
L6 -76.283030
L6 -76.279920
L6 -76.269640
L6 -76.277410
L6 -76.267670
L6 -76.270850
H5 -76.289150
L6 -76.279740
L6 -76.283160
L6 -76.268610
L6 -76.290720
L6 -76.278720
L6 -76.280580
L6 -76.266590
L6 -76.266510
L6 -76.267010
L6 -76.272700
H5 -76.267020
L6 -76.278060
L6 -76.277280
H5 -76.281040
L5 -76.266700
L6 -76.278320
L6 -76.272690
L6 -76.277300
L6 -76.269470
L6 -76.270990
L6 -76.267030
L6 -76.270650
L6 -76.272920
L6 -76.271250
H5 -76.291800
L6 -76.272390
L6 -76.270680
L6 -76.273060
L6 -76.268930
L6 -76.270430
L6 -76.267570
L6 -76.268710
L6 -76.270490
L6 -76.267030
L6 -76.282860
L6 -76.279260
L6 -76.290060
L4 -76.289120
L6 -76.282700
L6 -76.286630
L6 -76.286530
L6 -76.282570
L6 -76.284660
L6 -76.281630
L6 -76.287070
L6 -76.284980
L6 -76.280500
H5 -76.285990
L6 -76.282170
Aubrite -76.285750
L6 -76.284790
L6 -76.282510
L6 -76.283840
L6 -76.283220
L6 -76.290100
L6 -76.285830
L6 -76.284510
L6 -76.284530
L6 -76.285210
L6 -76.287540
L6 -76.288080
L6 -76.283360
L6 -76.282370
L6 -76.287510
L6 -76.283870
L6 -76.284500
L6 -76.286210
L6 -76.288970
L6 -76.289880
L6 -76.281440
L5 -76.291500
L6 -76.288150
L6 -76.288530
L6 -76.282900
L6 -76.293110
L6 -76.283770
L6 -76.284840
L6 -76.286040
L6 -76.292050
L6 -76.282960
L6 -76.288640
L6 -76.287470
L4 -76.287620
L6 -76.284090
L6 -76.285740
L6 -76.283170
L6 -76.282300
L6 -76.287740
L6 -76.285800
L6 -76.282330
L6 -76.285350
L6 -76.286680
L6 -76.284250
L6 -76.287390
L6 -76.284020
L6 -76.287340
L6 -76.286530
L6 -76.287250
L6 -76.282410
L4 -76.290010
L6 -76.286310
L6 -76.287400
L6 -76.283240
L6 -76.282600
L6 -76.285260
L6 -76.286310
L6 -76.287350
L6 -76.282350
L6 -76.288000
L6 -76.288600
L6 -76.281870
L6 -76.283730
L6 -76.281980
L6 -76.284270
L6 -76.285630
L6 -76.285160
L6 -76.287320
L6 -76.281270
L6 -76.283730
L6 -76.287380
L6 -76.285380
L6 -76.289580
L6 -76.285870
L6 -76.280710
L6 -76.282380
L6 -76.273180
L6 -76.286400
L6 -76.272660
L5 -76.282740
L6 -76.285450
L6 -76.285650
L6 -76.279080
L6 -76.287160
L6 -76.281960
L6 -76.286830
L6 -76.280150
L6 -76.286810
L6 -76.282810
L5 
L6 -76.277930
L6 -76.275380
L6 -76.279890
L6 -76.266100
L6 -76.287300
L6 -76.279940
L6 -76.280210
L6 -76.282590
L6 -76.281830
L6 -76.282640
L6 -76.286310
L6 -76.283390
L6 -76.282580
L6 -76.286860
L6 -76.287390
L6 -76.285010
L6 -76.265970
L6 -76.284660
L6 -76.269190
L6 -76.274810
L6 -76.272760
L6 -76.279150
L6 -76.269900
L6 -76.282920
L6 -76.285380
L6 -76.284850
L6 -76.287910
L6 -76.285030
L6 -76.284540
L6 -76.274030
L6 -76.265790
L6 -76.286670
L6 -76.282050
L6 -76.272560
L6 -76.280090
L6 -76.285690
L6 -76.274980
L6 -76.278350
L6 -76.287710
L6 -76.281750
L6 -76.284520
L6 -76.269330
L6 -76.285550
L6 -76.274550
L6 -76.285360
L6 -76.282360
L6 -76.286220
L6 -76.284970
L6 -76.270890
L6 -76.281850
L6 -76.285090
L6 -76.276880
H5 -76.280600
L6 -76.284580
L6 -76.282110
L6 -76.287910
L6 -76.284310
L6 -76.275260
L6 -76.279980
L6 -76.283510
L6 -76.287290
L6 -76.268760
L6 -76.273160
L6 -76.281180
L6 -76.284610
L3.6 -76.268250
L6 -76.273300
L6 -76.283840
L6 -76.288060
L6 -76.268690
L3.6 -76.265790
L6 -76.274530
L6 -76.266840
L6 -76.269200
L6 -76.267690
L6 -76.271210
L6 -76.268550
L6 -76.274870
L6 -76.276890
L6 -76.275700
L6 -76.269460
L6 -76.270500
L6 -76.274060
L6 -76.275090
L6 -76.274320
L6 -76.273500
L6 -76.274470
L6 -76.268570
L6 -76.269550
L6 -76.272390
L6 -76.269840
L6 -76.275380
L6 -76.272100
L6 -76.271820
L6 -76.267290
L6 -76.276680
H5 -76.267470
L6 -76.267580
L6 -76.274060
L6 -76.274490
L6 -76.278270
L6 -76.274570
L6 -76.276460
L6 -76.272530
L6 -76.273620
L6 -76.268230
L6 -76.271030
L6 -76.271110
L6 -76.272050
L6 -76.276830
L6 -76.275730
L6 -76.271120
L6 -76.278350
H5 -76.275370
L6 -76.273230
L6 -76.272070
L6 -76.272470
L6 -76.267620
L6 -76.269230
L6 -76.268040
L6 -76.269620
L6 -76.276780
H5 -76.268520
L6 -76.278850
L6 -76.268220
L6 -76.270720
L6 -76.267470
L6 -76.275990
L6 -76.275340
H5 
L6 -76.270450
L6 -76.270150
L6 -76.276960
L6 -76.268680
L6 -76.277600
L6 -76.271300
L6 -76.271040
L6 -76.268600
L6 -76.274170
L6 -76.274040
L6 -76.267850
CM2 -76.267500
L6 -76.271030
L6 -76.268110
L6 -76.273340
H5 -76.278020
CK5 -76.271510
EL3 -76.277390
L6 -76.271630
Mesosiderite -76.037850
CK5 -76.023530
Eucrite-br -76.054360
Eucrite-unbr -76.031650
CM2 -76.032980
C2 -76.049720
CM2 -76.019420
CM2 -76.041540
CM2 -76.019420
CM2 -76.019400
CR2 -76.027960
LL7 -76.081900
LL7 -76.018540
Howardite -76.052080
Howardite -76.050050
LL7 -76.081990
LL6 -76.081890
LL6 -76.081860
LL6 -76.038630
LL6 -76.049070
LL6 -76.081930
Howardite -76.024560
Eucrite-unbr -76.046560
LL6 -76.082570
Eucrite-br -76.052290
Eucrite-br -76.052120
Eucrite-br -76.052180
L6 -76.011830
"Iron 1992
L6 -76.074410
L6 -76.023190
L6 -76.040650
H5 -76.030880
L6 -76.040150
H5 -76.019070
L6 -76.035080
L6 -76.014880
H5 -76.037050
L6 -85.633330
H5 -76.045240
L5 -76.025060
CR2 -76.065200
L6 -76.055110
H5 -76.055650
H5 -75.992440
L6 -76.097290
H5 -76.046820
CR2 -76.026430
L5 -76.038630
L6 -76.045830
L6 -76.029360
CR2 -76.054510
LL6 -76.013190
LL6 -76.073680
L6 -76.020170
H6 -76.052570
H5 -76.055320
L6 -76.057270
L6 -76.023300
L6 -76.059450
L5 -76.048930
CR2 -76.066230
EL6 -76.030490
H5 -76.055060
CR2 -76.038290
H5 -76.036860
L5 -76.083720
L6 -76.106340
L6 -76.069210
CR2 -76.059770
H5 -76.091480
L4 -76.050450
L6 -76.097410
L6 -76.053750
H5 -76.053900
H6 -76.038630
H5 -76.030950
L6 -76.101470
L6 -76.059600
L6 -76.038390
LL5 -76.112190
L6 -76.041270
H5 -76.093640
H5 -76.042220
L5 -76.040380
L5 -76.042950
L6 -76.031150
H5 -76.045830
L5 -76.073480
L6 -76.106050
L6 -76.083640
CR2 -76.064450
EL6 -76.018400
CR2 -76.047990
L6 -76.044390
L6 -76.033070
L6 -76.033960
L6 -76.038100
LL5 -76.014940
L3.4 -76.041570
L6 -76.079370
L6 -76.047750
CM2 -76.037010
L6 -76.049460
CR2 -76.066410
L6 -76.079120
CR2 -76.042060
L6 -76.037250
L6 -76.033680
L6 -76.061020
H5 
H6 -76.043640
H6 -76.039510
H6 -76.052380
H6 -76.070560
H5 -76.057210
L6 -76.114940
L6 -76.056080
L6 -76.041750
H5 -76.099000
L6 -76.106690
L6 -76.048840
H5 -76.051250
H5 -76.051170
H5 -76.048860
L6 -76.041640
CO3 -76.049110
H5 -76.081970
CV3 -76.045860
H5 -76.054020
L6 -76.069990
CR2 -76.032710
H6 -76.023280
L4 -76.015750
LL6 -76.048380
H6 -76.042530
CR2 -76.026640
L6 -76.018380
CR2 -76.013350
L6 -76.011790
L6 -76.030580
L6 -76.013020
L6 -76.019390
CR2 -76.045080
CR2 -76.047650
L6 -76.038590
L6 -76.022540
CR2 -76.026320
CR2 -76.030620
CR2 -76.033510
L6 -76.040970
CR2 -76.035950
L6 -76.020510
LL6 -76.040250
L6 -76.013640
CR2 -76.012950
H5 -76.014860
L6 -76.021380
CR2 -76.050590
L6 -76.064360
CR2 -76.039910
CR2 -76.052370
CR2 -76.028590
CR2 -76.043540
CR2 -76.048610
CR2 -76.033130
L6 -76.042130
CR2 -76.046700
CR2 -76.060340
L6 -76.022300
CR2 -76.034040
LL6 -76.045070
L6 -76.038110
CR2 -76.062010
CR2 -76.035420
CR2 -76.053320
CR2 -76.045610
CR2 -76.053420
CR2 -76.066360
CR2 -76.022440
L6 -76.056050
L6 -76.023750
CR2 -76.040090
L4 -76.026240
CR2 -76.045120
LL6 -76.183330
L6 -76.057770
CR2 -85.633330
CR2 -76.042610
CR2 -76.057540
H6 -76.056680
L6 -76.021540
H6 -76.042220
Ureilite -76.183330
Howardite -76.183330
Howardite -76.183330
Howardite -76.183330
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
Lunar (basalt) -76.183330
"Iron 1996
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
L3.4 -76.183330
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
CM2 -76.183330
L6 -76.183330
L6 -76.183330
L6 -76.183330
H6 -76.183330
L6 -76.183330
H6 -76.183330
C4/5 -76.183330
H6 -76.183330
L6 -76.183330
CM2 -76.183330
H6 -76.183330
H4-an -76.183330
L4 -76.183330
H6 -76.183330
L6 -76.183330
L4 -76.183330
L6 -76.183330
H4-an -76.183330
L6 -76.183330
L6 -76.183330
H4-an -76.183330
H6 -76.183330
Ureilite -76.183330
H5 -76.183330
L6 -76.183330
L5 -76.183330
L6 -76.183330
H4-an -76.183330
L6 -76.183330
LL6 -76.183330
H5 -76.183330
